id;name;adress;phone;email
1;Assistant;Market;80068;Joseph_Feld@hotmail.com
2;User-friendly Concrete;pricing;29113;Lucie41@yahoo.com
3;Implementation Consultant Jugoslawien;Rubber China;24837;Sam_Schirmer95@gmail.com
4;Direct;Implementation Administrator;23865;Mary9@hotmail.com
5;bypass Bayern Spurs;secondary Front-line Sachsen-Anhalt;9009;Linnea.Freimuth@hotmail.com
6;primary;Renminbi plum;77121;Len_Pogorzelski41@hotmail.com
7;Electronics;redundant;83700;Rahel63@yahoo.com
8;Pine Niedersachsen Court;FTP Concrete;73280;David53@hotmail.com
9;Berkshire;Brandenburg;24272;Jean_Rter@hotmail.com
10;Future;generating Cliff Metrics;15575;Vera_Danneberg@yahoo.com
